,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity
0,Hive Mind,27ThgFMUAx3MXLQ297DzWF,The Internet,7GN9PivdemQRKjDt4z5Zv8,Come Over,2018-07-20,spotify:album:27ThgFMUAx3MXLQ297DzWF,2hPNuVVSV1tqiD2uPlfehz,spotify:track:2hPNuVVSV1tqiD2uPlfehz,321853,True,57
1,Feng Suave,4TXLnG7URez82o8xfZif2h,Feng Suave,73dudJ9j0HStIhJDU8MjMI,By the Poolside,2017-10-04,spotify:album:4TXLnG7URez82o8xfZif2h,4XTWiowLNAWfdc3YNq59VU,spotify:track:4XTWiowLNAWfdc3YNq59VU,217116,False,0
2,Keep The Faith,6XBv9s0hqnoX7lV6wydBeV,Moon Boots,3cIXmCH7iNcslTbwrwS7zy,Keep The Faith,2017-06-27,spotify:album:6XBv9s0hqnoX7lV6wydBeV,33RKGVnB3zWdvHwTpq4ApA,spotify:track:33RKGVnB3zWdvHwTpq4ApA,258034,False,40
3,Keep The Faith,6XBv9s0hqnoX7lV6wydBeV,Nic Hanson,1NrFTpkB0RvbVLYl0p5Xvc,Keep The Faith,2017-06-27,spotify:album:6XBv9s0hqnoX7lV6wydBeV,33RKGVnB3zWdvHwTpq4ApA,spotify:track:33RKGVnB3zWdvHwTpq4ApA,258034,False,40
4,Westside,1ZyxE4rXSfAZwqd6PO7l1N,Jarreau Vandal,6f96znq79wvlknKHHHhtTW,Westside,2018-07-31,spotify:album:1ZyxE4rXSfAZwqd6PO7l1N,4rU2eED2YPnmmrVmLlaYVI,spotify:track:4rU2eED2YPnmmrVmLlaYVI,179629,False,27
5,Anything In Return,3xDRuOqakukb1SjHQG4WWc,Toro y Moi,6O4EGCCb6DoIiR6B1QCQgp,How's It Wrong,2013-01-22,spotify:album:3xDRuOqakukb1SjHQG4WWc,3P5iJl5H2nOmWNMsCFuqFs,spotify:track:3P5iJl5H2nOmWNMsCFuqFs,234079,False,31
6,4 Track EP,64NBfuKfE49atmxBp4H3ZZ,Litany,2z6JjrrJKNLilqlx8mlxcc,Bedroom,2017-06-07,spotify:album:64NBfuKfE49atmxBp4H3ZZ,3LH6EfPCeySeuymuK2gWAO,spotify:track:3LH6EfPCeySeuymuK2gWAO,186781,False,63
7,Sunflower (Spider-Man: Into the Spider-Verse),47LpgGVshd0tbFSbm9tTLb,Post Malone,246dkjvS1zLTtiykXe5h60,Sunflower - Spider-Man: Into the Spider-Verse,2018-10-18,spotify:album:47LpgGVshd0tbFSbm9tTLb,1A6OTy97kk0mMdm78rHsm8,spotify:track:1A6OTy97kk0mMdm78rHsm8,158053,False,6
8,Sunflower (Spider-Man: Into the Spider-Verse),47LpgGVshd0tbFSbm9tTLb,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Sunflower - Spider-Man: Into the Spider-Verse,2018-10-18,spotify:album:47LpgGVshd0tbFSbm9tTLb,1A6OTy97kk0mMdm78rHsm8,spotify:track:1A6OTy97kk0mMdm78rHsm8,158053,False,6
9,Oxnard,3rqqwtJE89WoWvMyPTvbZc,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Cheers (feat. Q-Tip),2018-11-16,spotify:album:3rqqwtJE89WoWvMyPTvbZc,4qNijbGeHqlcFWrGrATFOX,spotify:track:4qNijbGeHqlcFWrGrATFOX,334733,True,55
10,FEELS,4FKCroUOb0VCWrU7ClYtWR,Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X,FEELS,2017-10-20,spotify:album:4FKCroUOb0VCWrU7ClYtWR,4hyjgR9LU4B31xK6iIr6w7,spotify:track:4hyjgR9LU4B31xK6iIr6w7,227501,False,0
11,Worst Nites,0xl3i3ohi5ojBbkNl7mQMJ,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Worst Nites,2018-11-06,spotify:album:0xl3i3ohi5ojBbkNl7mQMJ,7lVoniii4QwhNjCeHij2xZ,spotify:track:7lVoniii4QwhNjCeHij2xZ,211920,False,0
12,king,0j30bP1a6wUKr8Jx4iHK3O,slenderbodies,3S4d3YRNGg2OhnNm3QvfhA,king,2018-12-12,spotify:album:0j30bP1a6wUKr8Jx4iHK3O,423VyysMCduMmvqDH5oGEB,spotify:track:423VyysMCduMmvqDH5oGEB,191440,False,0
13,Rogue Waves,4sJXyIfwduIWFISb4iCq2f,Miguel,360IAlyVv4PCEVjgyMZrxK,waves - Tame Impala Remix,2016-02-26,spotify:album:4sJXyIfwduIWFISb4iCq2f,3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,253346,False,69
14,Gameshow (Deluxe Edition),7n7uMkN6MrzRL7HQmRjpRU,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Fever,2016-10-14,spotify:album:7n7uMkN6MrzRL7HQmRjpRU,2OHK6Hj0ITquxUstNPF5TM,spotify:track:2OHK6Hj0ITquxUstNPF5TM,281920,False,0
15,Gameshow (Deluxe Edition),7n7uMkN6MrzRL7HQmRjpRU,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Ordinary,2016-10-14,spotify:album:7n7uMkN6MrzRL7HQmRjpRU,3AEJ5MpwV4WJSFhxj04ITx,spotify:track:3AEJ5MpwV4WJSFhxj04ITx,298933,False,0
16,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,The 1975,3mIj9lX2MWuHmhNCA7LSCW,It's Not Living (If It's Not With You),2018-11-30,spotify:album:6PWXKiakqhI17mTYM4y6oY,3TgMcrV32NUKjEG2ujn9eh,spotify:track:3TgMcrV32NUKjEG2ujn9eh,248335,False,71
17,THE SCIENCE OF LETTING GO,37KtRElyaLqFapZXmFhIdC,Smallpools,4iiQabGKtS2RtTKpVkrVTw,DJs & Porsches,2017-08-04,spotify:album:37KtRElyaLqFapZXmFhIdC,7BhtNdWEvpx4n1vbqLrS93,spotify:track:7BhtNdWEvpx4n1vbqLrS93,197093,False,37
18,3:33am,0Yo1LADdOR5RZtkilf891i,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Lose My Cool,2017-05-12,spotify:album:0Yo1LADdOR5RZtkilf891i,3G9zeErd0kMx012kmYUrm7,spotify:track:3G9zeErd0kMx012kmYUrm7,214578,False,63
19,In Camera,6m3FWihId7SPqUaSyEo7hm,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL,In Camera,2018-08-21,spotify:album:6m3FWihId7SPqUaSyEo7hm,4vcyK8QHE6WsqiSnaBOtOS,spotify:track:4vcyK8QHE6WsqiSnaBOtOS,204386,False,0
20,NOTHIN LIKE U / CHANCES,2KVBhRpYqnjAVE4eWW3W6g,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,CHANCES,2018-11-30,spotify:album:2KVBhRpYqnjAVE4eWW3W6g,439X8jGytErRiPnaoUJHju,spotify:track:439X8jGytErRiPnaoUJHju,218200,False,67
21,sunny,0enwhVDrDgNf2QpeleSUSZ,j'san,5iMUho98faEp2w6j5p44PH,sunny,2018-04-26,spotify:album:0enwhVDrDgNf2QpeleSUSZ,0cZcOtDqLaavK7LowhTBsa,spotify:track:0cZcOtDqLaavK7LowhTBsa,139130,False,60
22,When The Night,7fbye8EAeiLsiKAe2upMEh,St. Lucia,5WId4o5jdGVhptNU0uqKxu,Elevate,2013-10-04,spotify:album:7fbye8EAeiLsiKAe2upMEh,5BxVRqpZi6tIhAap1ZjzVD,spotify:track:5BxVRqpZi6tIhAap1ZjzVD,308360,False,48
23,Talk,58kvvQvx6OtLqEDhqYSzyM,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,2019-02-07,spotify:album:58kvvQvx6OtLqEDhqYSzyM,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,False,74
24,Talk,58kvvQvx6OtLqEDhqYSzyM,Disclosure,6nS5roXSAGhTGr34W6n7Et,Talk,2019-02-07,spotify:album:58kvvQvx6OtLqEDhqYSzyM,0rTV5WefWd1J3OwIheTzxM,spotify:track:0rTV5WefWd1J3OwIheTzxM,197487,False,74
25,American Teen,6kf46HbnYCZzP6rjvQHYzg,Khalid,6LuN9FCkKOj5PcnpouEgny,8TEEN,2017-04-27,spotify:album:6kf46HbnYCZzP6rjvQHYzg,5bgwqaRSS3M8WHWruHgSL5,spotify:track:5bgwqaRSS3M8WHWruHgSL5,228600,False,79
26,Village,2KxC2M0bVm5hrK3GgGMuV9,Jacob Banks,0AepkoQhYvkjEzzwIcGxdV,Prosecco,2018-11-02,spotify:album:2KxC2M0bVm5hrK3GgGMuV9,1OWu2Vin6WH1gVvgO05Pw8,spotify:track:1OWu2Vin6WH1gVvgO05Pw8,208626,True,46
27,Fifty Shades Freed (Original Motion Picture Soundtrack),4w0N1CaZwQ5RPIuawqlYyy,Various Artists,0LyfQWJT6nXafLPZqxe9Of,Diddy Bop (x Louis The Child),2018-02-09,spotify:album:4w0N1CaZwQ5RPIuawqlYyy,2KZybiXVEQExXm2vtAcP8f,spotify:track:2KZybiXVEQExXm2vtAcP8f,219626,False,55
28,SALES LP,7ywSMs3G2OWOGVKMqc7KsE,SALES,6vVztIuqdDHvYWxOEXCzjN,Big Sis,2016-04-20,spotify:album:7ywSMs3G2OWOGVKMqc7KsE,0ARp9mXXpPflIwehy25kCa,spotify:track:0ARp9mXXpPflIwehy25kCa,166400,False,58
29,Let Go,6EkfVAo6uWwoWa7nwevWPM,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV,Let Go,2018-02-07,spotify:album:6EkfVAo6uWwoWa7nwevWPM,6hchk7cCDULpk2ag8JFjXQ,spotify:track:6hchk7cCDULpk2ag8JFjXQ,180479,False,0
30,Fire,4b7DQdQztY3wvk8DJB8bgz,Diskopunk,5Ck4KWOZsbrSQpiLimooDp,Fire,2016-03-22,spotify:album:4b7DQdQztY3wvk8DJB8bgz,5jRJlGB5EP7HFKwYBKvlSA,spotify:track:5jRJlGB5EP7HFKwYBKvlSA,197749,False,47
31,Supermarket (Soundtrack),7C5J8fG34IbOKe2pQPq9SU,Logic,4xRYI6VqpkE3UwrDrAZL8L,Bohemian Trapsody,2019-03-26,spotify:album:7C5J8fG34IbOKe2pQPq9SU,7Ii2ALuxW7NkLfQPhV4Rn2,spotify:track:7Ii2ALuxW7NkLfQPhV4Rn2,404666,True,53
