,album_name,album_id
0,Hive Mind,27ThgFMUAx3MXLQ297DzWF
1,Feng Suave,4TXLnG7URez82o8xfZif2h
2,Keep The Faith,6XBv9s0hqnoX7lV6wydBeV
3,Westside,1ZyxE4rXSfAZwqd6PO7l1N
4,Anything In Return,3xDRuOqakukb1SjHQG4WWc
5,4 Track EP,64NBfuKfE49atmxBp4H3ZZ
6,Sunflower (Spider-Man: Into the Spider-Verse),47LpgGVshd0tbFSbm9tTLb
7,Oxnard,3rqqwtJE89WoWvMyPTvbZc
8,FEELS,4FKCroUOb0VCWrU7ClYtWR
9,Worst Nites,0xl3i3ohi5ojBbkNl7mQMJ
10,king,0j30bP1a6wUKr8Jx4iHK3O
11,Rogue Waves,4sJXyIfwduIWFISb4iCq2f
12,Gameshow (Deluxe Edition),7n7uMkN6MrzRL7HQmRjpRU
14,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY
15,THE SCIENCE OF LETTING GO,37KtRElyaLqFapZXmFhIdC
16,3:33am,0Yo1LADdOR5RZtkilf891i
17,In Camera,6m3FWihId7SPqUaSyEo7hm
18,NOTHIN LIKE U / CHANCES,2KVBhRpYqnjAVE4eWW3W6g
19,sunny,0enwhVDrDgNf2QpeleSUSZ
20,When The Night,7fbye8EAeiLsiKAe2upMEh
21,Talk,58kvvQvx6OtLqEDhqYSzyM
22,American Teen,6kf46HbnYCZzP6rjvQHYzg
23,Village,2KxC2M0bVm5hrK3GgGMuV9
24,Fifty Shades Freed (Original Motion Picture Soundtrack),4w0N1CaZwQ5RPIuawqlYyy
25,SALES LP,7ywSMs3G2OWOGVKMqc7KsE
26,Let Go,6EkfVAo6uWwoWa7nwevWPM
27,Fire,4b7DQdQztY3wvk8DJB8bgz
28,Supermarket (Soundtrack),7C5J8fG34IbOKe2pQPq9SU
29,Lux Prima,1kgurOfUl0Qu20MDK46xur
30,Morrison,4Dq6bkNjN6gOz0P51j759B
31,Free Spirit,6KT8x5oqZJl9CcnM66hddo
32,The Omnitone Collection,6uecoRvQc3nqMVgZoxrEHK
33,Soulection Black Label: Hablot Brown,4drK8GetIiILQI15zbGOex
