,song_name,artist_id,artist_name,type,uri_x,song_id,uri_y,duration_ms,explicit,popularity
0,Come Over,7GN9PivdemQRKjDt4z5Zv8,The Internet,artist,spotify:artist:7GN9PivdemQRKjDt4z5Zv8,2hPNuVVSV1tqiD2uPlfehz,spotify:track:2hPNuVVSV1tqiD2uPlfehz,321853,True,57
1,By the Poolside,73dudJ9j0HStIhJDU8MjMI,Feng Suave,artist,spotify:artist:73dudJ9j0HStIhJDU8MjMI,4XTWiowLNAWfdc3YNq59VU,spotify:track:4XTWiowLNAWfdc3YNq59VU,217116,False,0
2,Keep The Faith,3cIXmCH7iNcslTbwrwS7zy,Moon Boots,artist,spotify:artist:3cIXmCH7iNcslTbwrwS7zy,33RKGVnB3zWdvHwTpq4ApA,spotify:track:33RKGVnB3zWdvHwTpq4ApA,258034,False,40
3,Keep The Faith,1NrFTpkB0RvbVLYl0p5Xvc,Nic Hanson,artist,spotify:artist:1NrFTpkB0RvbVLYl0p5Xvc,33RKGVnB3zWdvHwTpq4ApA,spotify:track:33RKGVnB3zWdvHwTpq4ApA,258034,False,40
4,Westside,6f96znq79wvlknKHHHhtTW,Jarreau Vandal,artist,spotify:artist:6f96znq79wvlknKHHHhtTW,4rU2eED2YPnmmrVmLlaYVI,spotify:track:4rU2eED2YPnmmrVmLlaYVI,179629,False,27
5,How's It Wrong,6O4EGCCb6DoIiR6B1QCQgp,Toro y Moi,artist,spotify:artist:6O4EGCCb6DoIiR6B1QCQgp,3P5iJl5H2nOmWNMsCFuqFs,spotify:track:3P5iJl5H2nOmWNMsCFuqFs,234079,False,31
6,Bedroom,2z6JjrrJKNLilqlx8mlxcc,Litany,artist,spotify:artist:2z6JjrrJKNLilqlx8mlxcc,3LH6EfPCeySeuymuK2gWAO,spotify:track:3LH6EfPCeySeuymuK2gWAO,186781,False,63
7,Sunflower - Spider-Man: Into the Spider-Verse,246dkjvS1zLTtiykXe5h60,Post Malone,artist,spotify:artist:246dkjvS1zLTtiykXe5h60,1A6OTy97kk0mMdm78rHsm8,spotify:track:1A6OTy97kk0mMdm78rHsm8,158053,False,6
8,Sunflower - Spider-Man: Into the Spider-Verse,1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,artist,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX,1A6OTy97kk0mMdm78rHsm8,spotify:track:1A6OTy97kk0mMdm78rHsm8,158053,False,6
9,Cheers (feat. Q-Tip),3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,artist,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,4qNijbGeHqlcFWrGrATFOX,spotify:track:4qNijbGeHqlcFWrGrATFOX,334733,True,55
10,Cheers (feat. Q-Tip),3ZotbHeyVQKxQCPDJuQ4SU,Q-Tip,artist,spotify:artist:3ZotbHeyVQKxQCPDJuQ4SU,4qNijbGeHqlcFWrGrATFOX,spotify:track:4qNijbGeHqlcFWrGrATFOX,334733,True,55
