,artist_name,artist_id
0,The Internet,7GN9PivdemQRKjDt4z5Zv8
1,Feng Suave,73dudJ9j0HStIhJDU8MjMI
2,Moon Boots,3cIXmCH7iNcslTbwrwS7zy
2,Nic Hanson,1NrFTpkB0RvbVLYl0p5Xvc
3,Jarreau Vandal,6f96znq79wvlknKHHHhtTW
4,Toro y Moi,6O4EGCCb6DoIiR6B1QCQgp
5,Litany,2z6JjrrJKNLilqlx8mlxcc
6,Post Malone,246dkjvS1zLTtiykXe5h60
6,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX
7,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa
7,Q-Tip,3ZotbHeyVQKxQCPDJuQ4SU
8,Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X
9,Foster The People,7gP3bB2nilZXLfPHJhMdvc
10,slenderbodies,3S4d3YRNGg2OhnNm3QvfhA
11,Miguel,360IAlyVv4PCEVjgyMZrxK
11,Tame Impala,5INjqkS1o8h1imAzPqGZBb
12,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl
14,The 1975,3mIj9lX2MWuHmhNCA7LSCW
15,Smallpools,4iiQabGKtS2RtTKpVkrVTw
16,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu
17,Yumi Zouma,4tPyCwWrsvZ8OKYl7QRavL
18,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
18,Shay Lia,3sJQwG0SsGRyv5C5kh4o9a
19,j'san,5iMUho98faEp2w6j5p44PH
19,Pandrezz,65ZGdYSRT3Rmv6P7DN4XCC
20,St. Lucia,5WId4o5jdGVhptNU0uqKxu
21,Khalid,6LuN9FCkKOj5PcnpouEgny
21,Disclosure,6nS5roXSAGhTGr34W6n7Et
23,Jacob Banks,0AepkoQhYvkjEzzwIcGxdV
24,Louis The Child,7wg1qvie3KqDNQbAkTdbX0
25,SALES,6vVztIuqdDHvYWxOEXCzjN
26,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV
27,Diskopunk,5Ck4KWOZsbrSQpiLimooDp
28,Logic,4xRYI6VqpkE3UwrDrAZL8L
29,Karen O,6emHCSoB4tJxTVXakbrpPz
29,Danger Mouse,2dBj3prW7gP9bCCOIQeDUf
30,FRENSHIP,7xEFii6utZmQ61kX59HmLH
31,John Mayer,0hEurMDQu99nJRq8pTxO14
32,Elder Island,3EnbnmqrrvApHJs6FMvYik
33,Hablot Brown,6LtgEnShwvrqAaKohg7skM
33,Maths Time Joy,3w18CP1k8zFZb1GfRlPHyK
34,Generationals,57MtJQ6Sc4tIxrXIhrqVJL
35,The Fratellis,3M4ThdJR28z9eSMcQHAZ5G
36,Tora,7KGI0OwY8iAL5rI5p47YyK
36,Merryn Jeann,6PwHyGcUfjwdjT9cdsaVWT
37,The RH Factor,3m7Ej9zfNto7JOsjKsYhEr
37,Stephanie McKay,08YadB7oKIN5eIRT7y6xLN
38,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA
39,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ
39,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
39,Jay Prince,2TLYSzGyVYkxAgYSCqUnQj
40,Jordan Rakei,24icoQNJSEWNu3XvqKBR68
41,Teyana Taylor,4ULO7IGI3M2bo0Ap7B9h8a
41,Kanye West,5K4W6rqBFWDnAN6FQUkS6x
42,Shura,1qpR5mURxk3d8f6mww6uKT
43,Kate Bollinger,4eArh1v6UwBbKkjdgHCned
44,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH
45,VanJess,0Ek89uaJyo6NfWK22awFvI
46,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO
47,Arin Ray,6TvjXbopXg71XRM9OZWqUc
48,Berhana,0WjtdWS6su0f3jrW9aqEHl
49,Mahalia,16rCzZOMQX7P8Kmn5YKexI
51,Yuna,3kHVioJpVxlazAAKQ64pC1
52,¿Téo?,0jsnWH4QCKcAMpR7vEhh9u
52,Jaden,0xOeVMOz2fVg5BJY3N6akT
53,Yves Jarvis,19h4y2F9duQ776bv1YhQYt
55,Barrie,1pHO6SCEw9tuRx0IVMFL0g
56,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR
57,DJDS,0orEyXhG0KnPEDVgpctNJI
57,Empress Of,5QuBVnBPEzwYvFrgBbwpmU
58,Hippo Campus,1btWGBz4Uu1HozTwb2Lm8A
59,TOPS,2SdK1QDmZIP2hk94rSaLl9
61,Golden Vessel,6bJCrLZcvsBMzve04BmgwS
61,Elkkle,5O3OUnaadL3aEVi5x6ImOl
61,E^ST,7ASucWaI33cepJbo74Hlo0
61,Duckwrth,6I3MElirhT5t6Kf7p0hGk9
62,Foals,6FQqZYVfTNQ1pCqfkwVFEa
64,Lime Cordiale,6yrtCy4XJHXM6tczo4RlTs
65,Zanski,6IVta6osiP9HifjCLIw4cv
66,Alexander 23,6sFHvCyqklnJpXC9Nh1aag
67,DPR LIVE,0siBQaURCli5wn2lqv8WZg
68,Clairo,3l0CmX0FuQjFxr8SK7Vqag
69,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs
69,Kenny Beats,1rHOtdmGNr5vcYNw5v7QGC
70,Free Nationals,4596e2d3KmYzAeVenjCxfj
70,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA
70,Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp
71,Syd,3jk39CGeaaSO3FPKNx1RUx
72,Kaminsky,2fG76qj8LhS6jhyZuqaUkm
73,NoMBe,5Lhxlge1CR1DrgDAje8Qaw
74,Calvin Priice,55Z3Xi6ID6z799AyGHjr6u
75,Ks French,1ew9xfiJEQ4Suu9JaqQn05
76,Satin Jackets,5Gn7NoCZvbVlGgtZMILRcv
76,Niya Wells,1hitzNXBW8lZ7ZRfIVMrYq
76,Cassara,7d3407kIJjwLd6N4aV4VLi
77,Koji.,5CwnPLe14OgA87UgZhzDBc
77,Abhi//Dijon,1crlEwxm5dcQjCcgCJEyqg
78,The Dynamics,1mYvu9huHeR7ho3iGAgCsn
79,Cosmo's Midnight,4VivsO1n4n2Mi2Btyb5gfL
79,Winston Surfshirt,61HS7DjYDQIkKSeGvpqmJh
80,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
81,The Jungle Giants,6wFwvxJkurQPU2UdeD4qVt
82,Kwaku Asante,2aUr9B6iwO3eYiEHJIpB0M
83,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
84,Rad Museum,6UdKtISMXYKSR8jcgtFePo
84,DEAN,3eCd0TZrBPm2n9cDG6yWfF
85,Saib,6N4HlHINMvoTyAL0yhBUCk
86,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
87,Sturla Atlas,7yuLFZmY5CuPf81al33Ot2
87,Auður,21SqAOtuXFpwygK1GNxjTm
88,Foley,776HGV4QHksTaUaawD9DnE
89,Cruel Santino,15GgEOJiFyjQm4tZ4D7qih
90,SASO,17cTF8IhnRgPTFruvNlrIS
91,Fake Fake,43nxlJkq1IwAYVZtTWo5kv
92,neumodel,4wiTMr3PA4rslJzqx4QO5f
92,Sirius Trema,0YftE2ynFdKgdXdmNofUSg
93,Caribou,4aEnNH9PuU1HF3TsZTru54
94,Saint DX,4AHuSBzDte0ospEtW9rL18
96,APRE,16oEz0ihXl8elwxOS0YMNF
97,EZI,6JINIoM2HUR5ZNTJwoR9eC
99,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3
0,Migos,6oMuImdp5ZcFhWP0ESe6mG
2,Young Thug,50co4Is1HCEo8bhOyUWKpn
2,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
3,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo
3,Gunna,2hlmm7s2ICUX0LVIhVFlZQ
5,Quavo,0VRj0yCOv2FXJNP47XQnx5
6,Big Sean,0c173mlxpT3dSFRgMO8XPh
6,2 Chainz,17lzZA2AlOHwCwFALHttmp
6,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq
6,Desiigner,7pFeBzX627ff0VnN6bxPR4
7,Juicy J,5gCRApTajqwbnHHPbr2Fpi
7,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
8,Future,1RyvyyTE3xzB2ZywiAwp0i
9,Drake,3TVXtAsR1Inumwj472S9r4
11,Chris Brown,7bXgB6jMjp9ATFy66eO08Z
11,Tyga,5LHRHt1k9lMyONurDHEdrp
11,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m
12,French Montana,6vXTefBL93Dj5IqAWq6OTv
13,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL
16,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq
16,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D
19,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca
21,G-Eazy,02kJSzxNuaWGqwubyUba0Z
22,A$AP Mob,7yO4IdJjCEPz7YgZMe25iS
22,A$AP NAST,1uLYUm2A6kpFYAECfAFoH1
22,A$AP Twelvyy,0tPjSrb43a58uznKru1k2P
28,21 Savage,1URnnhqYAYcrqrcwql10ft
29,OB OBrien,4thGcsymOK5oc43gJVtAqZ
29,Preme,0bdJZl7TDeiymDYzMJnVh2
30,Belly,0FOWNUFHPnMy0vOw1siGqi
32,VIC MENSA,27w1NoOLMX7tJMYqcetPyG
33,E-40,3crnzLy8R4lVwaigKEOz7V
34,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
35,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg
35,MC Eiht,4XqfpACObRB5AsBcUYjL8X
36,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
38,Vince Staples,68kEuyFKyqrdQQLLsmiatm
44,T.I.,4OBJLual30L7gRl5UkeRcT
44,Jeezy,4yBK75WVCQXej1p04GWqxH
44,Young Dro,3ZooCJzNMTLpmJaIRUEorI
44,Big Kuntry King,4V77E8MyGPCCvvjVFbYQfS
44,B.G.,36HvjE9pV91jEjO1qBRidS
45,Playboi Carti,699OTQXzgjhIYAHMy9RyPD
47,The Game,0NbfKEOTQCcwd6o7wSDOHI
47,Lil Wayne,55Aa2cqylxrFIXC767Z865
49,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX
53,Black Hippy,7a9KRWdaSZktpGGnWndzbC
54,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb
55,Joey Bada$$,2P5sC9cVZDToPxyomzF1UH
55,Yelawolf,68DWke2VjdDmA75aJX5C57
55,Danny Brown,7aA592KWirLsnfb5ulGWvU
55,Action Bronson,7BMccF0hQFBpP6417k1OtQ
55,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP
56,Chief Keef,15iVAtD3s3FsQR4w1v6M0P
56,Pusha T,0ONHkAv9pCAFxb0zJwDNTy
56,Jadakiss,5pnbUBPifNnlusY8kTBivi
57,Rick Ross,1sBkRIssrMs1AbVkOJbc7a
58,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL
59,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7
59,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
62,Lupe Fiasco,01QTIT5P1pFP3QnnFSdsJf
64,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK
64,Dave East,7e10JUMF7MJmmwYpnTSMI5
67,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
67,Frank Ocean,2h93pZq0e7k5yf4dywlkpM
69,James Brown,7GaxyUddsPok8BuhxN6OUW
69,2Pac,1ZwdS5xdxEREPySFridCfh
70,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp
70,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW
72,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA
79,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI
81,Shelley FKA DRAM,5M0lbkGluOPXLeFjApw8r8
83,Quality Control,6i392l38cR3uBPF0DbNs7S
83,Eurielle,7F1l2kTBvOPGd8sF8nBEtv
84,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
84,Cardi B,4kYSro6naA4h99UJvo89HB
86,Kodak Black,46SHBwWsqBkxI7EeeBEQG7
89,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU
95,Saudi,37Qsf5KCKljH7mL134xp4k
96,Jay Rock,28ExwzUQsvgJooOI0X1mr3
96,James Blake,53KwLdlmrlCelAZMaLVZqU
97,Yugen Blakrok,3kv1Edgn5HlEWCuEKr1Y9x
99,Keith Ape,6f9bmfkqiYbhCtdAZsv7KI
99,Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry
