,album_name,album_id
0,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK
1,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc
2,"Changes In Latitudes, Changes In Attitudes",3JWlQzyse21gwhqu2D6UQD
3,Volcano,1sU8u99py6xR0RhLY70vMD
4,"No Shoes, No Shirt, No Problems",28fqmcfV4mpPsqhdNKUeTc
5,Holland (2000 Remaster),56TmtkBepKW3eZKiRjEl0M
6,Uncaged,6u9LSUXpp53v2ypU6DRjlA
7,JEKYLL + HYDE,1xy141zMRluP7YaE94IawT
8,Volcano,1sU8u99py6xR0RhLY70vMD
9,The Foundation,5GP6INOrUkZJyXOqoTUlxZ
10,Havana Daydreamin',3dbWXUnz77tczgFBFCfqzE
11,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK
12,Hemingway's Whiskey,0EJVUQGqNRxYBBCS0OLqY7
13,Songs from St. Somewhere,6hKHUGNdKQNNf614xxTX8v
14,Lucky Old Sun,4WZiQjmX5wVzQV7Aqk9AVP
15,Blake Shelton's Barn & Grill,6Dx1pg8UVVauDZajxg62RA
16,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc
17,Feeding Frenzy,0hfEkyYkjd2m5Km2jbpLBl
18,Feeding Frenzy,0hfEkyYkjd2m5Km2jbpLBl
0,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
1,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
2,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
3,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
4,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
5,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
6,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
7,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
8,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
9,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
10,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
11,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
12,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
13,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
14,Songs You Don't Know By Heart,3UdbDZgh2gOj7BCZiOrbeE
15,Down at the Lah De Dah,56gMv3K5Mm8OrhlTxw0bT7
16,Life On the Flip Side,0ne63EVUZXiNCCPsi9n9Sc
17,Life On the Flip Side,0ne63EVUZXiNCCPsi9n9Sc
18,Life On the Flip Side,0ne63EVUZXiNCCPsi9n9Sc
19,Life On the Flip Side,0ne63EVUZXiNCCPsi9n9Sc
20,Oceans of Time,2FpOQBj9Y9ErtegOuxLvGI
21,Life On the Flip Side,0ne63EVUZXiNCCPsi9n9Sc
22,Life On the Flip Side,0ne63EVUZXiNCCPsi9n9Sc
23,Life On the Flip Side,0ne63EVUZXiNCCPsi9n9Sc
24,Book on the Shelf,2I9iRIEHkaGsJ2HkMtlcCQ
25,"Changes In Latitudes, Changes In Attitudes",3JWlQzyse21gwhqu2D6UQD
26,Volcano,1sU8u99py6xR0RhLY70vMD
27,"Changes In Latitudes, Changes In Attitudes",3JWlQzyse21gwhqu2D6UQD
28,Volcano,1sU8u99py6xR0RhLY70vMD
29,A-1-A,4Nquomkt7vhIpcJeuowLMJ
30,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK
31,Living And Dying In 3 / 4 Time,42UI9dZM7ZJTW7ONG4wGEE
32,Volcano,1sU8u99py6xR0RhLY70vMD
33,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK
34,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc
35,Living And Dying In 3 / 4 Time,42UI9dZM7ZJTW7ONG4wGEE
36,A White Sport Coat And A Pink Crustacean,1oN6OAJ7e3FO5QboDNtNOh
37,Coconut Telegraph,51ZdNrSYZ86LF7NH9y5k9x
38,A White Sport Coat And A Pink Crustacean,1oN6OAJ7e3FO5QboDNtNOh
39,A White Sport Coat And A Pink Crustacean,1oN6OAJ7e3FO5QboDNtNOh
40,Son Of A Son Of A Sailor,56JCyRFdBu8cTxla0VrGLK
41,Havana Daydreamin',3dbWXUnz77tczgFBFCfqzE
42,A-1-A,4Nquomkt7vhIpcJeuowLMJ
43,Last Mango In Paris,6Pn9ncUVWls3MkJrfzKaIe
44,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc
45,Coconut Telegraph,51ZdNrSYZ86LF7NH9y5k9x
46,Last Mango In Paris,6Pn9ncUVWls3MkJrfzKaIe
47,Fruitcakes,3rA3jUDxEOXzi9n3FxybOp
48,Barometer Soup,7hyoMJpObLf92TZGkFvV5y
49,Somewhere Over China,3qrQX56TjlLG9B9y5m704N
50,"Changes In Latitudes, Changes In Attitudes",3JWlQzyse21gwhqu2D6UQD
51,Fruitcakes,3rA3jUDxEOXzi9n3FxybOp
52,"Changes In Latitudes, Changes In Attitudes",3JWlQzyse21gwhqu2D6UQD
53,One Particular Harbor,6jZCKHXKwY2PhYhCIIhwRc
54,Havana Daydreamin',3dbWXUnz77tczgFBFCfqzE
55,Songs from St. Somewhere,6hKHUGNdKQNNf614xxTX8v
56,License to Chill,2NXJVffjFFrlAKHQtoUXmg
57,Take the Weather with You,5ysuQGWbJTDZZHULZIs1F0
58,Take the Weather with You,5ysuQGWbJTDZZHULZIs1F0
59,License to Chill,2NXJVffjFFrlAKHQtoUXmg
60,Songs from St. Somewhere,6hKHUGNdKQNNf614xxTX8v
61,You Get What You Give (Deluxe),62XZju4HxxXF6CBIqqG2ei
62,Playlist: The Very Best Of Alan Jackson,2QyJV0fOANPc6gRUFPeVe0
0,"Buffett Live: Tuesdays, Thursdays, Saturdays",4lotEIzou9mWRk5kdwz76q
1,Live in Anguilla,5V8MisPCUcMmFQ7ZhJdRxc
2,Live at Wrigley Field,1FxUaEmLXqcSAGXJSYU31C
3,Encores (Live),7dMcbjkCqOTTVWnzeSn27b
4,Live at Fenway Park,1vrNWsB1a5zTixWcSZSZhc
5,Live at Fenway Park,1vrNWsB1a5zTixWcSZSZhc
6,"Buffett Live: Tuesdays, Thursdays, Saturdays",4lotEIzou9mWRk5kdwz76q
7,"Buffett Live: Tuesdays, Thursdays, Saturdays",4lotEIzou9mWRk5kdwz76q
8,Encores (Live),7dMcbjkCqOTTVWnzeSn27b
9,Live in Anguilla,5V8MisPCUcMmFQ7ZhJdRxc
10,"Live in Mansfield, MA",18iGnAOx3aattbhxhEbmyd
11,Live at Fenway Park,1vrNWsB1a5zTixWcSZSZhc
12,Live In Hawaii,1ZODUTfRLNdajpSBBOxQpL
13,Live at Fenway Park,1vrNWsB1a5zTixWcSZSZhc
14,Live at Fenway Park,1vrNWsB1a5zTixWcSZSZhc
15,"Live in Cincinnati, OH",7FkM7Mrsu3Gwgh5hDysH8q
16,"Live in Las Vegas, NV",6QMMjG3U1zfhogfymBZfT1
17,"Live in Cincinnati, OH",7FkM7Mrsu3Gwgh5hDysH8q
18,"Live in Las Vegas, NV",6QMMjG3U1zfhogfymBZfT1
19,"Live in Mansfield, MA",18iGnAOx3aattbhxhEbmyd
20,"Live in Mansfield, MA",18iGnAOx3aattbhxhEbmyd
21,"Live in Mansfield, MA",18iGnAOx3aattbhxhEbmyd
