,song_name,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
0,Son Of A Son Of A Sailor,5Yi6mwvMHnnh241uGjcJYy,spotify:track:5Yi6mwvMHnnh241uGjcJYy,206093,False,54,1uY4UVKMPbOFj9cdtNc6a6,sailing
1,One Particular Harbour,44UqG68nsYIsJGQQXybDN8,spotify:track:44UqG68nsYIsJGQQXybDN8,344506,False,49,1uY4UVKMPbOFj9cdtNc6a6,sailing
2,"Changes In Latitudes, Changes In Attitudes",5nIqitaV7WyyuM3KVUju1G,spotify:track:5nIqitaV7WyyuM3KVUju1G,197333,False,56,1uY4UVKMPbOFj9cdtNc6a6,sailing
3,Fins,4X6qvY7lDpNxq9QokS5F0u,spotify:track:4X6qvY7lDpNxq9QokS5F0u,207933,False,47,1uY4UVKMPbOFj9cdtNc6a6,sailing
4,"No Shoes, No Shirt, No Problems",208bYsadJ56km31IENM2qS,spotify:track:208bYsadJ56km31IENM2qS,209666,False,61,1uY4UVKMPbOFj9cdtNc6a6,sailing
5,"Sail On, Sailor - Remastered 2000",3U4hSjTlK6WU0wORlAne9H,spotify:track:3U4hSjTlK6WU0wORlAne9H,202426,False,47,1uY4UVKMPbOFj9cdtNc6a6,sailing
6,Island Song,4I3nwwubSmlAaA9PJa0lvH,spotify:track:4I3nwwubSmlAaA9PJa0lvH,223306,False,59,1uY4UVKMPbOFj9cdtNc6a6,sailing
7,Castaway,5PNcJn4oFNvlRfrZBHfqWh,spotify:track:5PNcJn4oFNvlRfrZBHfqWh,188053,False,61,1uY4UVKMPbOFj9cdtNc6a6,sailing
8,Boat Drinks,4VJHw4VLJTx4IC0xFQz7Gh,spotify:track:4VJHw4VLJTx4IC0xFQz7Gh,160506,False,53,1uY4UVKMPbOFj9cdtNc6a6,sailing
9,Where the Boat Leaves From,3R8XBHHIhlzJo65YFgp0Z2,spotify:track:3R8XBHHIhlzJo65YFgp0Z2,222533,False,56,1uY4UVKMPbOFj9cdtNc6a6,sailing
10,Havana Daydreamin',7rOCVvKlBhDjnaXN5zwyH2,spotify:track:7rOCVvKlBhDjnaXN5zwyH2,219706,False,45,1uY4UVKMPbOFj9cdtNc6a6,sailing
11,Mañana,1u5207wtMT8mOq3A64nsEb,spotify:track:1u5207wtMT8mOq3A64nsEb,256959,False,43,1uY4UVKMPbOFj9cdtNc6a6,sailing
12,Coastal,22ejspKqayOvA7eCzUjFlk,spotify:track:22ejspKqayOvA7eCzUjFlk,159586,False,45,1uY4UVKMPbOFj9cdtNc6a6,sailing
13,Something 'Bout a Boat,06YPnktvcLxVopw6xfW5rc,spotify:track:06YPnktvcLxVopw6xfW5rc,164073,False,44,1uY4UVKMPbOFj9cdtNc6a6,sailing
14,Boats,6Hvkerq1P6q8DeOHjCh3hT,spotify:track:6Hvkerq1P6q8DeOHjCh3hT,275546,False,39,1uY4UVKMPbOFj9cdtNc6a6,sailing
15,Some Beach,7kWeSMXLxUHHOkFxsS0vhP,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,204826,False,62,1uY4UVKMPbOFj9cdtNc6a6,sailing
16,Stars On The Water,1tCjn3xJR6odgDWdJF79zB,spotify:track:1tCjn3xJR6odgDWdJF79zB,196800,False,31,1uY4UVKMPbOFj9cdtNc6a6,sailing
