,song_name,song_id,uri,duration_ms,explicit,popularity,playlist_id,playlist_name
0,Fight Night,2n5gVJ9fzeX2SSWlLQuyS9,spotify:track:2n5gVJ9fzeX2SSWlLQuyS9,216247,True,68,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
1,Pipe It Up,6eBrlbv2HMYcldwjoMWIrC,spotify:track:6eBrlbv2HMYcldwjoMWIrC,206266,True,53,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
2,"Floyd Mayweather (feat. Travis Scott, Gucci Mane and Gunna)",5ALc7rbru6QOLGodVSDocc,spotify:track:5ALc7rbru6QOLGodVSDocc,358506,True,57,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
3,With Them,0tISnxqgVmxqhVghsTi2Rr,spotify:track:0tISnxqgVmxqhVghsTi2Rr,197746,True,58,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
4,F Cancer (Boosie) [feat. Quavo],1qPK58q90l8KNoWyXsLI2Y,spotify:track:1qPK58q90l8KNoWyXsLI2Y,249639,True,49,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
5,Champions,2nBI3iWLhupR7LyAJ5GGkE,spotify:track:2nBI3iWLhupR7LyAJ5GGkE,334253,True,68,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
6,One of Those Nights (feat. The Weeknd),6Jc69KjFo9QNailcyDJh2I,spotify:track:6Jc69KjFo9QNailcyDJh2I,256026,True,56,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
7,Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,spotify:track:7EiZI6JVHllARrX9PUvAdX,313546,True,75,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
8,Jumpman,27GmP9AWRs744SzKcpJsTZ,spotify:track:27GmP9AWRs744SzKcpJsTZ,205879,True,74,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
9,F*ck Up Some Commas,49zD0wr2S3d0lZPib0K4e1,spotify:track:49zD0wr2S3d0lZPib0K4e1,237400,True,67,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
10,Bitches N Marijuana (feat. ScHoolboy Q),3PiLfzEXHrvT1oJKR8PAJt,spotify:track:3PiLfzEXHrvT1oJKR8PAJt,254693,True,61,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
11,No Shopping,0Di26AbdtizzHkFstPyt7A,spotify:track:0Di26AbdtizzHkFstPyt7A,227727,True,47,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
12,New Level (feat. Future),25rc1PFgPvtV6GFSloyOI0,spotify:track:25rc1PFgPvtV6GFSloyOI0,264973,True,57,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
13,Let It Bang (feat. ScHoolboy Q),4yJ61FeTLi14BHzJXzurPi,spotify:track:4yJ61FeTLi14BHzJXzurPi,151306,True,47,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
14,Back Hurt (feat. Migos),4BWuRZe5uDrhcO3QDhNaxQ,spotify:track:4BWuRZe5uDrhcO3QDhNaxQ,216200,True,38,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
15,Blasé (feat. Future & Rae Sremmurd),3nW6HqoWdzpdz2oAzkHEoV,spotify:track:3nW6HqoWdzpdz2oAzkHEoV,286144,True,36,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
16,Antidote,1wHZx0LgzFHyeIZkUydNXq,spotify:track:1wHZx0LgzFHyeIZkUydNXq,262693,True,76,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
17,??? (Where) [feat. Migos],11byn9E2NCI65biHtKOLG2,spotify:track:11byn9E2NCI65biHtKOLG2,265830,True,43,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
18,Shabba (feat. A$AP Rocky),7eaKWfov7b2Qa2n6HTesL3,spotify:track:7eaKWfov7b2Qa2n6HTesL3,275866,True,65,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
19,way back,2Zy7XVdxyZQB8xp5xbpJdl,spotify:track:2Zy7XVdxyZQB8xp5xbpJdl,272500,True,68,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
20,Calm Down,7xq3uN2toVZ8IbNzfTucyJ,spotify:track:7xq3uN2toVZ8IbNzfTucyJ,127426,True,63,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
21,"Hella Hoes (feat. A$AP Rocky, A$AP Ferg, A$AP Nast & A$AP Twelvyy)",7MDKvOzNgAJ3KMCtaP2UOa,spotify:track:7MDKvOzNgAJ3KMCtaP2UOa,211964,True,54,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
22,Who,2FzMXRTlAbHkEP1N5RrXaW,spotify:track:2FzMXRTlAbHkEP1N5RrXaW,192313,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
23,Both (feat. Drake),5tFep7dXGd7vEJ668wTPux,spotify:track:5tFep7dXGd7vEJ668wTPux,190311,True,70,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
24,Hannah Montana,3SnLc0bQjQeE3HgGdNfb8u,spotify:track:3SnLc0bQjQeE3HgGdNfb8u,212712,True,49,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
25,Call Casting,2SxF6pKTGmQLfkWua5d8j8,spotify:track:2SxF6pKTGmQLfkWua5d8j8,232705,True,27,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
26,Fake Love,6NMNgWgEAzde5M8U3lc6FN,spotify:track:6NMNgWgEAzde5M8U3lc6FN,207813,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
27,Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,251333,True,65,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
28,Schemin Up (feat. Drake and P. Reign),63M8PK8yavNITSViKUB62p,spotify:track:63M8PK8yavNITSViKUB62p,330769,True,52,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
29,Might Not,5e9aFSdnkQUrm5y8Dhw0qN,spotify:track:5e9aFSdnkQUrm5y8Dhw0qN,224213,True,67,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
30,T-Shirt,7KOlJ92bu51cltsD9KU5I7,spotify:track:7KOlJ92bu51cltsD9KU5I7,242407,True,69,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
31,U Mad,3KiEydhjn7yf58h9jBD5Sa,spotify:track:3KiEydhjn7yf58h9jBD5Sa,299800,True,57,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
32,I Don't Fuck With You,4w7yrP4RAeeyhfG9nJqQvS,spotify:track:4w7yrP4RAeeyhfG9nJqQvS,284386,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
33,For Free (feat. Drake),5TqBAOIBe0bQA0spNdcG3k,spotify:track:5TqBAOIBe0bQA0spNdcG3k,183695,True,54,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
34,m.A.A.d city,439TlnnznSiBbQbgXiBqAd,spotify:track:439TlnnznSiBbQbgXiBqAd,350120,True,68,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
35,Dirt Off Your Shoulder,3IrkbGQCoEPAkzJ0Tkv8nm,spotify:track:3IrkbGQCoEPAkzJ0Tkv8nm,245173,True,62,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
36,Show Me What You Got,1SlPhbS52PbNqqVCqGU12I,spotify:track:1SlPhbS52PbNqqVCqGU12I,223120,True,39,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
37,BagBak,0ylljWEG3ggkTlQbnUZb3Q,spotify:track:0ylljWEG3ggkTlQbnUZb3Q,160506,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
38,Mask Off,3rOSwuTsUlJp0Pu0MkN8r8,spotify:track:3rOSwuTsUlJp0Pu0MkN8r8,204600,True,45,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
39,Gyalchester,6UjfByV1lDLW0SOVQA4NAi,spotify:track:6UjfByV1lDLW0SOVQA4NAi,189229,True,69,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
40,Portland,2bjwRfXMk4uRgOD9IBYl9h,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,236614,True,73,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
41,HUMBLE.,31c9IHwCIONmUYW0jL7Riz,spotify:track:31c9IHwCIONmUYW0jL7Riz,177604,True,2,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
42,Black Beatles,6fujklziTHa8uoM5OQSfIo,spotify:track:6fujklziTHa8uoM5OQSfIo,291893,True,76,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
43,"Top Back Remix (feat. Young Jeezy, Young Dro, Big Kuntry King, B.G.)",1H3j02k8vrhbPekOqV00mG,spotify:track:1H3j02k8vrhbPekOqV00mG,272146,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
44,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,181812,True,76,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
45,Big Fish,1hsCcm0xujceILNvgRfrVB,spotify:track:1hsCcm0xujceILNvgRfrVB,198053,False,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
46,Martians Vs Goblins,1UIcqXAA24eg76EFWViwr5,spotify:track:1UIcqXAA24eg76EFWViwr5,228826,True,61,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
47,BUTTERFLY EFFECT,1yxgsra98r3qAtxqiGZPiX,spotify:track:1yxgsra98r3qAtxqiGZPiX,190677,False,2,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
48,Trap Paris (feat. Quavo & Ty Dolla $ign),5hfpu8saHLGedbHRtNCYjm,spotify:track:5hfpu8saHLGedbHRtNCYjm,203000,True,54,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
49,JoHn Muir,7sr74Bz3GBTNMQe1m4F5Ut,spotify:track:7sr74Bz3GBTNMQe1m4F5Ut,219026,True,56,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
50,Collard Greens,0zO8ctW0UiuOefR87OeJOZ,spotify:track:0zO8ctW0UiuOefR87OeJOZ,299960,True,73,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
51,LigHt Years AHead (Sky HigH),1hjOus1mOUJ5lObEg2I077,spotify:track:1hjOus1mOUJ5lObEg2I077,251783,True,38,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
52,Rolling Stone,7x9vJE3Xa7mIH106rzO9Tk,spotify:track:7x9vJE3Xa7mIH106rzO9Tk,216569,True,47,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
53,Old English,2MO3mSPBH8U9qalH72vqZ1,spotify:track:2MO3mSPBH8U9qalH72vqZ1,201960,False,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
54,1Train,7AijU6oTPGmG64uWf63Qvc,spotify:track:7AijU6oTPGmG64uWf63Qvc,372173,True,0,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
55,Don't Like.1,12D0n7hKpPcjuUpcbAKjjr,spotify:track:12D0n7hKpPcjuUpcbAKjjr,283653,True,59,1Vu8EHOlNPBFVBxmKtGHlr,brrrat brrrat
